feature	importance
rmssd_7d_mean_max	0.0007763913646266586
sleep_dur_14d_std_mean	0.0007721533516988063
sleep_lat_5d_mean_std	0.0007708333333333331
hr_3d_cv_std	0.0007705587995475949
rmssd_5d_std_std	0.0007588260377250312
sleep_dur_7d_slope_min	0.0007585139318885447
rmssd_7d_autocorr_min	0.0007523186831550801
digital_allostatic_load_std	0.0007521859990839768
rmssd_7d_autocorr_std	0.0007487842122232571
hr_14d_cv_max	0.0007431524266201685
lfhf_28d_mean_max	0.0007424242424242423
sleep_lat_21d_slope_max	0.0007350000000000002
sleep_dur_21d_autocorr_mean	0.0007273954116059377
sleep_onset_sd_5d_mean	0.0007241379310344829
lfhf_7d_std_mean	0.0007191835798646945
rmssd_28d_mean_min	0.0007166773504273507
sleep_qual_5d_mean_std	0.0007063294456820861
hr_7d_slope_max	0.0007036994485294118
sleep_qual_7d_autocorr_max	0.0007023411371237457
sleep_lat_5d_autocorr_mean	0.0006970903342895616
lfhf_21d_std_std	0.0006960227272727273
hr_5d_cv_std	0.000694665957823853
rmssd_21d_slope_max	0.0006936551819344336
lfhf_5d_slope_min	0.0006919934640522877
sleep_qual_7d_mean_mean	0.0006912225705329153
lfhf_28d_slope_mean	0.0006850715354225004
sleep_lat_21d_autocorr_mean	0.0006822240259740261
rmssd_3d_mean_mean	0.0006755514705882353
hr_21d_autocorr_mean	0.0006716008771929824
sleep_lat_14d_autocorr_min	0.0006644269587320576
hr_21d_cv_min	0.0006620627858113955
sleep_dur_21d_autocorr_std	0.0006396198830409356
rmssd_3d_cv_std	0.0006349718058332808
sleep_lat_21d_cv_std	0.0006272401433691756
sleep_dur_21d_std_mean	0.0006272401433691756
sleep_dur_21d_mean_max	0.00062637339418526
lfhf_14d_autocorr_max	0.0006186868686868687
sleep_dur_7d_mean_min	0.0006022602360503427
hr_28d_slope_min	0.0005925925925925924
sleep_onset_sd_21d_max	0.0005912518853695332
hr_7d_std_mean	0.0005903436643474592
sleep_lat_3d_cv_max	0.0005551198257080609
lfhf_14d_std_std	0.000519949066213922
sleep_onset_sd_3d_mean	0.00048571428571428566
sleep_dur_14d_autocorr_std	0.00048076923076923096
sleep_lat_3d_std_max	0.00048076615021849794
hr_5d_slope_std	0.00048034524814710635
hr_7d_autocorr_max	0.0004787356321839083
sleep_lat_28d_mean_mean	0.0004757882882882882
sleep_lat_21d_mean_min	0.0004711538461538462
hr_28d_cv_max	0.0004550189393939391
sleep_qual_28d_autocorr_mean	0.00045057471264367874
sleep_qual_28d_mean_min	0.00045036764705882353
digital_allostatic_load_min	0.0004503262567778697
sleep_lat_7d_autocorr_mean	0.0004474431818181818
lfhf_14d_slope_max	0.00044708994708994755
sleep_onset_sd_28d_min	0.00044616841491841515
lfhf_14d_slope_min	0.0004460784313725491
sleep_qual_28d_mean_max	0.00044035947712418297
sleep_onset_sd_7d_mean	0.0004353553921568626
hr_28d_std_max	0.00042989639037433185
lfhf_7d_mean_std	0.00042857142857142866
lfhf_3d_autocorr_mean	0.000424432497013142
hr_21d_mean_max	0.00042254016859370297
rmssd_3d_autocorr_std	0.0004222713642102843
hr_14d_autocorr_mean	0.00042183195592286507
sleep_onset_sd_3d_std	0.0004215053763440859
sleep_lat_5d_cv_mean	0.00041911045943304027
sleep_lat_21d_autocorr_max	0.00041911045943304027
sleep_lat_7d_cv_std	0.000418146987112505
sleep_lat_28d_cv_max	0.0004138513513513513
rmssd_7d_autocorr_mean	0.00041311890270223574
sleep_qual_7d_slope_min	0.00041245791245791253
sleep_qual_14d_mean_min	0.00041229034030313777
sleep_qual_28d_std_min	0.00041162634408602156
rmssd_14d_cv_min	0.00041113653699466064
sleep_qual_28d_cv_min	0.0004072679475015812
hr_28d_autocorr_min	0.00040551724137931024
rmssd_5d_cv_max	0.00039894636015325673
lfhf_21d_autocorr_mean	0.0003975659229208926
sleep_lat_28d_std_min	0.0003970497552703587
hr_3d_mean_mean	0.00039704975527035864
hr_5d_mean_mean	0.0003942528735632185
sleep_lat_14d_mean_min	0.0003940058479532164
sleep_lat_3d_mean_mean	0.0003935185185185186
sleep_qual_7d_mean_std	0.0003926282051282051
lfhf_5d_cv_max	0.00039199999999999993
sleep_dur_28d_autocorr_min	0.0003895435839880285
sleep_qual_5d_std_std	0.000388135891568386
lfhf_3d_std_max	0.00038418458781361997
sleep_qual_5d_cv_min	0.00038409280936454847
hr_7d_mean_max	0.00037808641975308637
lfhf_14d_std_min	0.000375
sleep_lat_14d_mean_std	0.00036961206896551723
sleep_lat_28d_mean_min	0.0003684210526315789
sleep_qual_14d_autocorr_min	0.0003678678678678678
sleep_qual_7d_std_max	0.0003658900836320191
lfhf_28d_mean_mean	0.0003631422924901182
hr_7d_autocorr_mean	0.00036029411764705886
sleep_qual_3d_cv_min	0.0003602941176470588
sleep_qual_21d_slope_min	0.00035818713450292403
rmssd_14d_autocorr_std	0.000358187134502924
hr_14d_autocorr_std	0.00035695200645291373
sleep_lat_7d_slope_std	0.0003512544802867383
rmssd_3d_cv_mean	0.00034801136363636365
hr_21d_mean_min	0.00034385964912280695
sleep_qual_21d_mean_max	0.0003400809716599194
sleep_qual_21d_cv_min	0.0003377757352941177
sleep_lat_14d_cv_mean	0.00033777573529411765
hr_21d_std_max	0.0003333333333333333
sleep_qual_14d_cv_mean	0.0003223684210526315
sleep_dur_3d_mean_min	0.0003202614379084967
digital_allostatic_load_mean	0.0003202614379084967
rmssd_28d_std_std	0.00031681034482758624
hr_3d_mean_min	0.0003125
lfhf_28d_std_max	0.0002777777777777778
rmssd_21d_mean_min	0.0002777777777777778
sleep_lat_28d_cv_mean	0.0002777777777777778
lfhf_3d_std_min	0.0002777777777777778
rmssd_28d_slope_mean	0.0002722222222222222
sleep_lat_28d_autocorr_mean	0.00025917963417963384
sleep_lat_5d_cv_min	0.00025
rmssd_3d_std_max	0.00024019607843137254
rmssd_3d_slope_min	0.0002251838235294118
lfhf_7d_slope_max	0.0002160070532915357
sleep_lat_7d_cv_mean	0.00021321462043111524
sleep_onset_sd_7d_max	0.00019284107946026998
sleep_qual_14d_autocorr_max	0.0001510416666666667
hr_7d_cv_std	0.0
hr_14d_std_mean	0.0
sleep_lat_5d_slope_max	0.0
sleep_lat_5d_autocorr_std	0.0
sleep_lat_7d_mean_std	0.0
hr_14d_mean_mean	0.0
sleep_lat_5d_autocorr_max	0.0
sleep_lat_7d_mean_mean	0.0
sleep_lat_7d_mean_min	0.0
rmssd_3d_slope_std	0.0
rmssd_14d_autocorr_max	0.0
hr_7d_std_max	0.0
hr_7d_slope_min	0.0
hr_14d_std_std	0.0
sleep_qual_21d_autocorr_mean	0.0
hr_14d_std_min	0.0
sleep_lat_5d_cv_max	0.0
sleep_lat_3d_std_mean	0.0
hr_21d_autocorr_std	0.0
hr_21d_slope_min	0.0
hr_21d_slope_std	0.0
hr_21d_cv_max	0.0
sleep_lat_3d_cv_std	0.0
sleep_lat_3d_cv_min	0.0
hr_21d_cv_std	0.0
hr_21d_std_min	0.0
hr_21d_std_std	0.0
hr_21d_mean_mean	0.0
hr_14d_autocorr_min	0.0
sleep_lat_3d_autocorr_min	0.0
sleep_lat_3d_autocorr_max	0.0
