auc	cohens_d	p_value	ci_lower	ci_upper	n_dep	n_healthy	feature	dataset	stat_type	p_adjusted	status
0.6467391304347826	0.6853316159162401	0.011976047904191617	0.5153210084033614	0.7987413223140496	23	32	entropy_7d_cv	depresjon	coefficient_of_variation	0.1432135728542914	DISCARD
0.6521739130434783	0.5633110839077132	0.0499001996007984	0.5174159568976643	0.8039848197343454	23	32	entropy_7d_slope	depresjon	slope	0.24550898203592814	DISCARD
0.532608695652174	0.05981145389785906	0.8143712574850299	0.5039975891790409	0.6935357142857143	23	32	entropy_7d_autocorr	depresjon	autocorrelation	0.9059933230883366	DISCARD
0.5978260869565217	0.13962135955347169	0.6427145708582834	0.5053333333333334	0.739887521222411	23	32	entropy_14d_mean	depresjon	mean	0.8234780439121756	DISCARD
0.6711956521739131	0.6206172866651279	0.027944111776447105	0.5210084033613446	0.8087255018176072	23	32	entropy_14d_std	depresjon	standard_deviation	0.2148203592814371	DISCARD
0.6453804347826086	0.6494124051259147	0.03592814371257485	0.5120264503294258	0.7907555013753438	23	32	entropy_14d_cv	depresjon	coefficient_of_variation	0.24550898203592814	DISCARD
0.6671195652173914	0.6751358437511895	0.021956087824351298	0.5237462921764924	0.7852617079889808	23	32	entropy_14d_slope	depresjon	slope	0.18003992015968065	DISCARD
0.6834239130434783	0.629631393319765	0.04590818363273453	0.5292087719298246	0.7990975775066684	23	32	entropy_14d_autocorr	depresjon	autocorrelation	0.24550898203592814	DISCARD
0.7083333333333333	0.5315708614797182	0.4231536926147705	0.5	0.9411764705882353	3	16	entropy_21d_mean	depresjon	mean	0.6950773777121083	DISCARD
0.6041666666666667	0.36054712741467027	0.5948103792415169	0.5	0.835952380952381	3	16	entropy_21d_std	depresjon	standard_deviation	0.7946043397076814	DISCARD
0.7708333333333334	0.810381740426121	0.19760479041916168	0.5294117647058824	1.0	3	16	entropy_21d_cv	depresjon	coefficient_of_variation	0.517135940884189	DISCARD
0.5625	0.2735920080072334	0.688622754491018	0.5	0.9340624999999999	3	16	entropy_21d_slope	depresjon	slope	0.8303980274744629	DISCARD
0.5	0.057376516060336336	0.9500998003992016	0.5	0.8967320261437911	3	16	entropy_21d_autocorr	depresjon	autocorrelation	0.9659369785020124	DISCARD
0.6480978260869565	0.30778570928404364	0.3013972055888224	0.5118788819875776	0.8215357142857143	23	32	active_min_3d_mean	depresjon	mean	0.6262258092510631	DISCARD
0.5244565217391304	0.15633677262474535	0.5548902195608783	0.5029636422136422	0.6711423554095969	23	32	active_min_3d_std	depresjon	standard_deviation	0.7783750680457266	DISCARD
0.5434782608695652	0.4519661853496495	0.10379241516966067	0.5040065266879783	0.710328118850846	23	32	active_min_3d_cv	depresjon	coefficient_of_variation	0.3488811849984242	DISCARD
0.561141304347826	0.2146018183325728	0.4590818363273453	0.508391690009337	0.7200672268907563	23	32	active_min_3d_slope	depresjon	slope	0.7239367419008137	DISCARD
0.5721726190476191	0.09671034289129918	0.7624750499001997	0.5036990712233169	0.7212762368815592	21	32	active_min_3d_autocorr	depresjon	autocorrelation	0.8847587843181561	DISCARD
0.6467391304347826	0.28596704718353566	0.27944111776447106	0.5184572829131653	0.8043221793221793	23	32	active_min_5d_mean	depresjon	mean	0.603004517281227	DISCARD
0.5271739130434783	0.22032337428660936	0.4351297405189621	0.5028520272830618	0.6789086799075802	23	32	active_min_5d_std	depresjon	standard_deviation	0.6950773777121083	DISCARD
0.5394021739130435	0.46231370079773815	0.10778443113772455	0.5053170105589461	0.6915990534144693	23	32	active_min_5d_cv	depresjon	coefficient_of_variation	0.3488811849984242	DISCARD
0.5054347826086956	0.048641679531671145	0.8662674650698603	0.502621220902154	0.6793177797434764	23	32	active_min_5d_slope	depresjon	slope	0.9185422258930415	DISCARD
0.5520833333333334	0.07482601959538551	0.8303393213572854	0.5029750994972768	0.7014064156945917	21	32	active_min_5d_autocorr	depresjon	autocorrelation	0.9059933230883366	DISCARD
